user_id,month_id,age,avg_monthly_revenue,bnpl_amount,bnpl_default,repayment_days_delay,bnpl_repeat_count,direct_channel_usage_share,recent_recharge_freq,bundle_purchase_count,app_version
100000,1,56,137126,217673,0,0,0,63.3,5,3,9.0
100000,2,56,121285,217901,1,18,1,40.83,5,0,9.0
100000,3,56,113299,204568,0,0,2,57.99,4,0,9.0
100000,4,56,82854,231945,0,0,1,38.57,6,1,9.0
100000,5,56,129058,210484,0,0,1,63.41,3,1,9.0
100001,1,46,104674,211741,0,0,1,40.55,5,2,8.2
100001,2,46,90867,268743,0,0,0,79.43,3,3,8.1
100001,3,46,88276,221672,0,0,1,76.77,1,1,8.1
100001,4,46,91332,216528,0,0,0,35.69,5,3,8.2
100001,5,46,84213,155561,0,0,0,20.63,3,1,8.1
100002,1,32,71371,0,0,0,0,29.84,4,2,8.2
100002,2,32,65131,0,0,0,0,57.46,4,1,9.0
100002,3,32,59993,0,0,0,0,72.94,6,2,9.0
100002,4,32,68560,0,0,0,0,67.62,3,0,8.2
100002,5,32,68333,0,0,0,0,47.9,3,1,8.2
100003,1,60,197656,0,0,0,0,32.16,1,2,9.0
100003,2,60,135622,0,0,0,0,48.78,4,0,9.0
100003,3,60,150576,0,0,0,0,50.32,4,2,9.0
100003,4,60,148326,0,0,0,0,76.27,4,0,9.0
100003,5,60,143906,0,0,0,0,78.46,2,3,9.0
100004,1,25,111614,0,0,0,0,37.28,1,3,8.1
100004,2,25,138427,0,0,0,0,11.21,3,5,8.0
100004,3,25,98650,0,0,0,0,71.7,3,2,8.0
100004,4,25,111657,0,0,0,0,75.81,2,2,8.0
100004,5,25,73908,0,0,0,0,9.79,5,2,8.1
100005,1,38,111532,223075,0,0,2,32.54,2,1,8.2
100005,2,38,146180,210379,1,8,1,32.0,1,3,8.2
100005,3,38,117551,150392,1,5,1,59.18,3,4,9.0
100005,4,38,127460,227518,0,0,0,83.1,1,2,9.0
100005,5,38,107457,195040,0,0,0,83.86,1,3,9.0
100006,1,56,134819,161930,0,0,2,23.45,4,0,9.0
100006,2,56,161595,129457,0,0,2,29.14,3,4,8.2
100006,3,56,107216,159136,0,0,2,60.91,2,1,8.2
100006,4,56,172377,238204,0,0,1,63.1,3,4,8.2
100006,5,56,99704,288094,0,0,2,56.2,4,2,8.2
100007,1,36,156572,205920,0,0,0,62.33,2,3,8.2
100007,2,36,147696,150164,1,4,2,65.41,4,2,9.0
100007,3,36,161968,220819,0,0,0,49.41,4,1,8.2
100007,4,36,147367,253869,0,0,2,67.24,6,0,8.2
100007,5,36,145446,296062,0,0,2,38.21,4,2,8.2
100008,1,40,102618,263206,0,0,2,28.99,1,3,8.1
100008,2,40,136902,211213,0,0,0,54.91,4,1,8.1
100008,3,40,120385,228754,0,0,0,76.23,8,1,8.1
100008,4,40,115487,163869,1,12,1,13.23,4,2,8.1
100008,5,40,130127,239847,0,0,0,23.58,2,1,8.2
100009,1,28,83908,246699,0,0,2,24.38,4,0,8.2
100009,2,28,113126,75137,0,0,0,16.86,5,1,8.2
100009,3,28,106635,207134,0,0,2,54.56,3,5,8.2
100009,4,28,107133,274504,0,0,2,76.3,2,2,8.2
100009,5,28,116579,166438,0,0,0,26.97,3,7,9.0
100010,1,28,130005,93726,0,0,1,78.31,2,4,8.2
100010,2,28,109347,198617,0,0,0,72.01,1,3,8.2
100010,3,28,101167,253802,0,0,0,35.68,1,2,9.0
100010,4,28,85793,220031,0,0,2,53.33,3,3,9.0
100010,5,28,66892,201347,0,0,0,86.72,1,1,9.0
100011,1,41,121159,0,0,0,0,61.43,1,2,8.1
100011,2,41,96417,0,0,0,0,73.39,2,4,8.0
100011,3,41,73581,0,0,0,0,90.01,4,4,8.1
100011,4,41,112622,0,0,0,0,66.73,4,2,8.1
100011,5,41,123149,0,0,0,0,60.33,1,1,8.1
100012,1,53,103071,0,0,0,0,38.92,5,3,8.2
100012,2,53,107479,0,0,0,0,30.35,3,1,9.0
100012,3,53,104898,0,0,0,0,60.31,0,1,9.0
100012,4,53,105272,0,0,0,0,8.33,5,0,8.2
100012,5,53,72301,0,0,0,0,71.16,3,0,8.2
100013,1,57,118154,179043,0,0,2,86.58,1,1,8.0
100013,2,57,131378,203003,0,0,0,58.75,5,2,8.1
100013,3,57,121707,194332,0,0,1,72.04,1,1,8.1
100013,4,57,118053,215787,1,15,2,46.72,3,3,8.0
100013,5,57,121375,203918,1,16,1,12.58,2,4,8.0
100014,1,41,122801,0,0,0,0,79.03,2,2,9.0
100014,2,41,117073,0,0,0,0,21.12,2,2,9.0
100014,3,41,103404,0,0,0,0,76.9,1,5,9.0
100014,4,41,88187,0,0,0,0,67.03,5,2,9.0
100014,5,41,114814,0,0,0,0,69.59,2,3,9.0
100015,1,20,170705,0,0,0,0,80.33,4,0,9.0
100015,2,20,170429,0,0,0,0,64.98,3,5,9.0
100015,3,20,193438,0,0,0,0,55.56,3,1,9.0
100015,4,20,197949,0,0,0,0,35.33,7,4,9.0
100015,5,20,166605,0,0,0,0,23.74,1,1,9.0
100016,1,39,115785,158514,0,0,2,19.85,3,1,9.0
100016,2,39,127593,184239,0,0,0,36.17,5,1,9.0
100016,3,39,125009,132983,0,0,1,67.93,4,2,9.0
100016,4,39,109692,184477,0,0,2,55.61,2,3,9.0
100016,5,39,129106,211566,1,23,1,45.1,4,2,9.0
100017,1,19,60898,252521,1,28,2,80.14,3,1,8.2
100017,2,19,61096,309959,0,0,2,86.49,4,0,8.2
100017,3,19,66315,108572,0,0,2,45.39,4,2,8.1
100017,4,19,59452,153304,0,0,1,75.69,4,3,8.2
100017,5,19,63149,184465,0,0,0,53.39,2,2,8.1
100018,1,41,209140,0,0,0,0,72.15,5,2,8.1
100018,2,41,224745,0,0,0,0,36.1,5,1,8.1
100018,3,41,222672,0,0,0,0,20.3,2,1,8.0
100018,4,41,208225,0,0,0,0,13.72,5,3,8.1
100018,5,41,121862,0,0,0,0,66.73,4,3,8.0
